title,genre,artists,song_desc,youtube_url
If Tomorrow Never Happens,Melodic Bass/EDM,"SLANDER, Nikademis, Poo Bear","A 75 BPM melodic bass track in D minor, featuring smooth vocals and gentle melodies that build into a euphoric drop blending rock and future bass elements. The song explores themes of living in the present and cherishing moments, with lyrics questioning potential regrets if tomorrow never comes. It debuted live at Ultra Music Festival and EDC Las Vegas, resonating with festival-goers and listeners alike.",https://www.youtube.com/watch?v=Yr5NqP2lELs
Potions,Melodic Bass,"SLANDER, Said The Sky, JT Roach","A melodic future bass track featuring ethereal vocals over gentle acoustics, blending 's anthemic sound with 's signature style, creating an emotionally charged atmosphere.; contrast between sparse verses and dense climaxes; ear‑catching transitions; layered textures; tasteful automation; tight low‑end management; polished master",https://www.youtube.com/watch?v=XyfWV_BTLd0
Superhuman,Melodic Bass,"SLANDER, Eric Leva","Future bass track in G major, 128 BPM, 4:29 duration, featuring emotive vocals over deep piano chords and vibrant synths; smooth drops and punchy drum fills create an uplifting atmosphere; praised for its emotional depth and melodic richness, blending smooth vocals with powerful synths; described as an emotional rollercoaster and a prime example of future bass; remixed by Gammer and Spag Heddy, adding unique twists to the original.",https://www.youtube.com/watch?v=-sHagClUhCI
All You Need to Know,Progressive EDM,"Gryffin, SLANDER, Calle Lehmann","A 140 BPM future bass track in C major, featuring 's emotive vocals over warm synths, vibrant piano, and skittering percussion, blending melodic elements with artful basslines for an uplifting, euphoric atmosphere.; snare roll lifts; sub‑reinforced drop; stereo widened leads; formant shifts; festival‑scale build; supersaw stack; white‑noise risers; hard sidechain",https://www.youtube.com/watch?v=J-STI5eZFfw
First Time,Melodic Bass,"SLANDER, Dylan Matthew","An emotionally charged melodic dubstep track featuring soaring vocals over ethereal melodies, vibrant synths, and powerful percussion, blending heavy bass with euphoric elements for a cathartic listening experience.; layered textures; tasteful automation; tight low‑end management; polished master; contrast between sparse verses and dense climaxes; ear‑catching transitions",https://www.youtube.com/watch?v=oyxklxISius
Your Fault,Melodic Bass,"SLANDER, KALEENA ZANDERS, GONE","A dynamic house track featuring gospel-infused vocals, uplifting melodies, and pulsating beats, blending soulful energy with contemporary dance rhythms.; layered textures; tasteful automation; tight low‑end management; polished master; contrast between sparse verses and dense climaxes; ear‑catching transitions",https://www.youtube.com/watch?v=lQtFKVc175c
Broken Hearted,Melodic Bass,"SLANDER, San Holo, Julia Church","A melodic dubstep track featuring ethereal vocals, gentle guitar strums, and expansive synths, building toward euphoric drops with distorted vocal chops and subtle riddim elements, creating a cinematic journey of emotional recovery.; focused arrangement; clear motif development; dynamic contour with defined peaks",https://www.youtube.com/watch?v=0yIhZHJ2lwA
Back To U,Future Bass/EDM,"SLANDER, William Black","A melodic bass track featuring emotive vocals and a somber guitar riff, building to a euphoric drop with mid-range synths and concise drum patterns, released on Gud Vibrations.; snare roll lifts; sub‑reinforced drop; stereo widened leads; formant shifts; festival‑scale build; supersaw stack; white‑noise risers; hard sidechain",https://www.youtube.com/watch?v=sPSm7E_cnfU
FEELING GUD,Pop/Electronic,"SLANDER, Matthew Santos","Upbeat electronic track at 174 BPM in F minor, blending future bass and dubstep elements. Features ' soulful vocals, sampling Nina Simone's ""Feeling Good."" Dynamic drops with pitch-shifted vocals and evolving synths create an energetic atmosphere. Released by Gud Vibrations label, it has garnered significant attention, amassing over 67 million Spotify streams since its February 2020 release.",https://www.youtube.com/watch?v=LLp6Q_4I_-c
Higher Power,House/Electronic,"Gryffin, Lavern, AR/CO","Upbeat dance track featuring ethereal vocals, vibrant synths, and deep basslines, creating a whimsical yet grinding dance heater. Combines melodic finesse, sleek style, and transcendent songwriting. Shimmers with late-night aura, blending nostalgia with propulsion. Aims to be a summer banger, blending three unique worlds into a beacon of hope.",https://www.youtube.com/watch?v=lrMKKcaQOOg
Hard Time Lover,Indie Electronic,"Gryffin, Chance Peña","A 3:05 indie-dance track in G Major at 105 BPM, featuring 's emotive vocals and delicate guitar lines, exploring complexities of supporting someone through dark times. 's production blends acoustic textures with rhythmic, melodic elements, creating a poignant yet uplifting atmosphere. Released via 10K Projects on June 6, 2025, it showcases 's return to his indie roots while maintaining his signature dance energy.",https://www.youtube.com/watch?v=e1Klhcekv-Y
In My Head,House/Electronic,"Gryffin, Kaskade, Nu-La","Slow-burning house track featuring ethereal chord progressions, deep emotive grooves, and soaring vocals from UK artist . Gated tremolo synths flutter into focus like a breaking wave, driving yet dreamlike. The collaboration between and blends their respective styles, creating a warm, sing-along energy perfect for winter months.",https://www.youtube.com/watch?v=JFC05H301xs
Tie Me Down,Pop/Electronic,"Gryffin, Elley Duhé","Energetic dance-pop track in F# major, 99 BPM, 4/4 time, 3:38 duration, featuring 's soulful vocals over uplifting melodies, blending tropical house guitar with melodic house undertones; lyrics explore themes of desire and commitment; received critical acclaim, charting on Billboard's Hot Dance/Electronic Songs; gained popularity in Japan, topping Apple Music and iTunes Store dance charts in 2022.",https://www.youtube.com/watch?v=yzr4vItHf24
Woke Up in Love,Dance Pop,"Gryffin, Kygo, Calum Scott","This 3:36 track in C major features a 4/4 time signature and a tempo of 120 BPM, blending tropical house and dance-pop elements. 's emotive vocals are complemented by and 's production, characterized by warm synths, subtle piano, and rhythmic percussion. The song's uplifting mood evokes sun-drenched coasts and freedom, aligning with themes of healing and self-love post-heartbreak.",https://www.youtube.com/watch?v=qKrCDDHsGSU
Feel Good,Future Bass/Pop,"Gryffin, Illenium, Daya","This energetic EDM-pop anthem features 's soulful vocals over a dynamic blend of synths and guitar textures, creating an uplifting atmosphere. The track's production incorporates innovative synth sounds and reimagined guitar elements, reflecting 's unique style of merging electronic music with organic instruments. The song's lyrics explore themes of positivity and emotional support, resonating with listeners seeking an uplifting musical experience.",https://www.youtube.com/watch?v=L2OR9XoFFWw
Nobody Compares To You,Pop/Electronic,"Gryffin, Katie Pearlman","Future bass track featuring gentle guitar strokes, piano chimes, and 's emotive vocals, building into euphoric drops with lush synths and bouncy bass. Released October 6, 2017, it peaked at number 85 on Billboard's Hot Dance/Electronic Songs chart in 2018.; verse–pre–hook–chorus form; earworm motif; tight vocal comp; plate reverb",https://www.youtube.com/watch?v=gRG_5SQVARc
Body Back,Pop/Electronic,"Gryffin, Maia Wright","Upbeat dance-pop track at 123 BPM in A♭ major, featuring 's emotive vocals over shimmering synths and rhythmic programmed drums. 's production blends tropical house elements with melodic guitar riffs, creating a euphoric atmosphere. Lyrically, it explores themes of defiance and resilience in love, urging a partner to return despite external judgments. Released on October 18, 2019, it peaked at number 14 on New Zealand's Hot Singles chart.",https://www.youtube.com/watch?v=Q_ovUTp40V8
All You Need To Know,Progressive EDM,"Gryffin, SLANDER, Calle Lehmann","Mid-tempo electronic track fuses warm guitar riffs with orchestral elements, featuring Swedish vocalist's emotive delivery; builds to euphoric drop blending trap influences and soaring melodies, creating uplifting atmosphere.; extended intro/outro; 8‑bar phrasing; energy‑mapped arrangement; festival‑scale build; supersaw stack; white‑noise risers; hard sidechain",https://www.youtube.com/watch?v=J-STI5eZFfw
Forever,Pop/Electronic,"Gryffin, Elley Duhé","Upbeat 138 BPM house track in G# major, 3:07 duration, 4/4 time signature, featuring ethereal synths, dynamic programmed drums, and 's emotive vocals. Themes of living in the moment and embracing life's fleeting nature. Second collaboration between and Duhé, following 2019's ""Tie Me Down."" Released as part of 's sophomore album, ""Alive, "" on November 4, 2022.",https://www.youtube.com/watch?v=BY7XRDwGT2w
Cry,Pop/Electronic,"Gryffin, John Martin","Uplifting dance anthem at 145 BPM in C♯ major, featuring bright pads, atmospheric synths, and dynamic drops; combines acoustic guitar melodies with electronic elements, creating an energetic, danceable track.; clean topline; layered harmonies; glossy synth pads; punchy drums; mid‑tempo groove; bright acoustic elements; soft saturation on bus",https://www.youtube.com/watch?v=enbNUqSZdD8
Just For A Moment,Pop/Electronic,"Gryffin, Iselin","Uplifting future bass track in C# minor at 144 BPM, featuring 's emotive vocals over vibrant synths and dynamic programmed drums. Structured in 4/4 time, it delivers a cinematic drop that evokes nostalgia and longing. The song's production complements the lyrical content perfectly, with its energetic and dynamic sound.",https://www.youtube.com/watch?v=mgFe6_O57ww
Desire (Remix),Deep House,"Years & Years, Gryffin","This remix features a driving tempo of approximately 120 BPM, set in a major key, and structured in a 4/4 time signature. It blends deep house elements with indie dance, incorporating warm guitar riffs, smooth basslines, and uplifting synth melodies. The track gained prominence as the lead single for the 'We Are Your Friends' soundtrack, aligning with the film's themes of ambition and the pursuit of dreams.",https://www.youtube.com/watch?v=c3TP9aMnoik
Scandalous,House/Pop,"Gryffin, Tinashe","Up-tempo dance track featuring sultry vocals over shimmering synths and pulsating bass, creating an irresistible call to the dancefloor. Captures lightning-in-a-bottle passion and uninhibited revelry between two people magnetically drawn to each other.; DJ‑friendly intro/outro; 8‑bar phrasing; filter sweeps; reverb throws",https://www.youtube.com/watch?v=mJ_IQ-G2-Uk
Whole Heart,Future Bass/Pop,"Gryffin, Bipolar Sunshine","Upbeat 164 BPM track in A major, blending acoustic guitar with pulsating synths and mid-tempo rhythms; features anthemic vocals addressing societal issues and urging unity.; clean topline; layered harmonies; glossy synth pads; punchy drums; mid‑tempo groove; bright acoustic elements; soft saturation on bus",https://www.youtube.com/watch?v=PWhMoGt0cs8
Best Is Yet To Come,Pop/Electronic,"Gryffin, Kyle Reynolds","Uplifting electronic track featuring emotive vocals over warm piano and bass synths, creating an anthemic atmosphere. Incorporates dynamic drops and rhythmic percussion, blending future bass and dance-pop elements. Released in June 2021, it conveys themes of hope and optimism, resonating with listeners seeking motivation. The song's production showcases a fusion of melodic dance music with heartfelt lyrics, appealing to fans of uplifting electronic anthems.",https://www.youtube.com/watch?v=FaA1-weqWgg
Keep U Safe,Melodic Bass,"ARMNHMR, Liv Miraldi","A 3:13 track in A major at 150 BPM, featuring soaring melodies, cinematic builds, and emotive vocals, blending melodic bass with heartfelt lyricism.; layered textures; tasteful automation; tight low‑end management; polished master; focused arrangement; clear motif development; dynamic contour with defined peaks",https://www.youtube.com/watch?v=ob7VcuyqVhs
Gone,Electronic/Pop,"ARMNHMR, KELIZA","Energetic house track featuring uplifting vocals, driving bassline, and dynamic percussion, blending melodic elements with rhythmic intensity. Released July 19, 2024, by and PASSPORT, with 's vocals. Extended Mix runs 4:53 minutes; remixes by YDG, YUSSI, and VNSSA released February 7, 2025. Celebrated for its festival mainstage appeal and positive energy.",https://www.youtube.com/watch?v=uW3HksJXSSA
My Eyes,Progressive EDM,ARMNHMR,"A 3:40 dubstep track with a tempo of 140 BPM, featuring emotive vocals, dynamic drops, and a blend of melodic interludes and energetic basslines. Released on July 4, 2025, it reflects themes of mindfulness and presence, encouraging listeners to slow down and appreciate the moment.; extended intro/outro; 8‑bar phrasing; energy‑mapped arrangement",https://www.youtube.com/shorts/MYJi1f0eOgA
Someone to Forget,Melodic EDM,"ARMNHMR, Lights","Mid-tempo electronic track in C minor, 4/4 time signature, approximately 90 BPM, blending melodic bass with live instrumentation, featuring emotive vocals and poignant lyrics exploring themes of love and loss.; festival‑scale build; supersaw stack; white‑noise risers; hard sidechain; snare roll lifts; sub‑reinforced drop; stereo widened leads; formant shifts",https://www.youtube.com/watch?v=4eSuxmAZF3U
Falling Apart,Melodic Bass,"ARMNHMR, RUNN","A melodic dubstep track in D♯ major at 145 BPM, featuring emotive vocals over dynamic guitar riffs and dramatic percussive elements. The song delves into themes of emotional vulnerability and the desire for companionship during challenging times. An acoustic rendition released in June 2022 offers a stripped-back version, highlighting the raw emotion of the original. A Crankdat remix released in August 2022 introduces a faster tempo of 150 BPM and a key change to C minor, adding a fresh",https://www.youtube.com/watch?v=xrUczVnuWDQ
Lifeline,Future Bass,"ARMNHMR, Trella","A 3:45 electro-pop track featuring airy vocals over house-influenced beats, blending melodic bass with uplifting melodies. Released on Monstercat in July 2023, it showcases a departure from the duo's usual style, incorporating early musical influences. The song's themes of vulnerability and seeking support are conveyed through its emotive production and lyrics.",https://www.youtube.com/watch?v=eleyCPO-168
Saving Lives,Melodic EDM,"ARMNHMR, Zack Gray","A 4-minute, 27-second track in C major at 142 BPM, featuring emotive vocals over a cinematic future bass backdrop with ethereal synths and dynamic percussion. The 3/4 time signature imparts a waltz-like rhythm, enhancing its introspective mood. Released on Monstercat in November 2021, it delves into themes of unreciprocated love and personal sacrifice, reflecting the artists' experiences during the early pandemic period.",https://www.youtube.com/watch?v=O-HAygr0xiw
Silver Lining,Melodic Bass,"ARMNHMR, KARRA","A melancholic melodic dubstep track in E minor, 152 BPM, 3:35 duration, featuring soaring female vocals, dynamic drops, and uplifting melodies. Listeners praise its high-energy drops and 's powerful voice, noting the track's unique production style. The song's themes of finding hope amid adversity resonate with fans, with some comparing its style to Seven Lions.",https://www.youtube.com/watch?v=sJnC2TM9tPI
Here With Me,Electronic/Pop,"ARMNHMR, Nevve","Mid-tempo future bass track approximately 100 BPM in C minor, 4/4 time, 3:25 duration, featuring ethereal vocals, lush synths, dynamic drops, and emotive melodies. The song explores themes of digital detachment and longing for genuine connection in a technology-driven world. It encourages listeners to reflect on how technology impacts relationships and to seek more meaningful connections.",https://www.youtube.com/watch?v=OKwaqDKX9DQ
Forever Young,Progressive EDM,"ARMNHMR, Melanie Fontana","Uplifting electronic track features lilting piano melodies, harmonies, and dynamic basslines, blending cinematic elements with vibrant synths. Embracing themes of resilience and youthful spirit, it encourages listeners to face life's challenges with optimism. Released as part of 's debut album, ""The Free World, "" in February 2020, it showcases a shift towards a more laid-back, future bass-oriented sound.",https://www.youtube.com/watch?v=CDHA0VTDb04
Fragile,Melodic Bass,"ARMNHMR, Melanie Fontana","A 138 BPM future bass track in D♭ major, featuring shimmering synths, anthemic kicks, and ethereal vocals, creating an empowering anthem about embracing vulnerability and inner strength.; layered textures; tasteful automation; tight low‑end management; polished master; focused arrangement; clear motif development; dynamic contour with defined peaks",https://www.youtube.com/watch?v=ekflCw1x-6o
Won't Make A Sound,Dance/Pop,"ARMNHMR, Pepper Rose","A dynamic fusion of melodic bass and pop-punk, this track features emotive vocals over a driving tempo, blending electronic elements with raw guitar riffs. The production seamlessly transitions between melancholic verses and intense drops, creating an energetic yet introspective atmosphere. Released in 2022, it showcases a collaboration that bridges genres, resonating with listeners seeking both nostalgia and modern energy.",https://www.youtube.com/watch?v=uW3HksJXSSA
Everybody Feels,Melodic Bass,"ARMNHMR, Maazel, Zack Gray","A cinematic future bass track featuring emotive vocals, soaring synths, and dynamic percussion, blending electronic and pop elements to create an uplifting atmosphere.; layered textures; tasteful automation; tight low‑end management; polished master; focused arrangement; clear motif development; dynamic contour with defined peaks",https://www.youtube.com/watch?v=TqDpRSodal0
Oceans,Melodic Bass,"ARMNHMR, NKOLO","Trap-tinged future bass track with uplifting synths, energetic programmed drums, and warm vocals, blending classical piano elements with electronic drops, creating an emotionally resonant atmosphere.; focused arrangement; clear motif development; dynamic contour with defined peaks; contrast between sparse verses and dense climaxes; ear‑catching transitions",https://www.youtube.com/watch?v=1Z9pnRRLPfE
Strangers,Melodic Bass/EDM,"Seven Lions, Myon & Shane 54, Tove Lo","A 2013 collaboration blending melodic dubstep and progressive house, featuring ethereal vocals over uplifting synths and a driving 4/4 rhythm, building to a dynamic drop. Noted for its emotive blend of dubstep, trance, and electro house, with a tempo of 128 BPM in the key of C minor. Described as a ""bright and swift tour-de-EDM-force with a touch of ethereal fantasy.""",https://www.youtube.com/watch?v=fthOxQ0rAds
Worlds Apart,Melodic Dubstep/Trance,"Seven Lions, Kerli","A 6:18 track in C minor, 4/4 time, 140 BPM, blending melodic dubstep with cinematic elements. Features ethereal vocals, atmospheric synths, and deep sub-bass. Builds tension with a haunting interlude before an impactful drop, combining heavy bass with harmonious melodies. 's vocals contrast dubstep's intensity, enhancing the track's emotional depth. Accompanied by a fantasy-themed music video depicting a knight and mermaid in a surreal world.",https://www.youtube.com/watch?v=ULqdjtDI-bs
Don’t Leave,Melodic Dubstep/Pop,"Seven Lions, Ellie Goulding","A 6-minute progressive house track in B major at 132 BPM, featuring 's ethereal vocals over lush synths and dynamic basslines. The song's structure includes atmospheric breakdowns and uplifting drops, blending trance-like melodies with energetic drops. Released in 2014 as part of the ""Worlds Apart"" EP, it charted at number 141 on the UK Singles Chart.",https://www.youtube.com/watch?v=sETfN2gaYPw
Calling You Home,Melodic Bass/Trance,"Seven Lions, Runn","A 150 BPM melodic dubstep track in C minor, featuring ethereal female vocals, buoyant synth melodies, and resonant basslines. The song's structure builds from gentle verses to euphoric drops, creating an uplifting atmosphere. Released in February 2018 as the inaugural single on Ophelia Records, it blends elements of trance and electro, showcasing the artist's signature style.",https://www.youtube.com/watch?v=1qtDEXWNgcs
Rush Over Me,Melodic Bass/Dubstep,"Seven Lions, Illenium, Said The Sky, Haliene","A collaboration blending melodic dubstep and future bass, featuring ethereal vocals over atmospheric synths and emotive piano melodies, building to euphoric drops with soaring leads and dynamic percussion.; layered textures; tasteful automation; tight low‑end management; polished master; focused arrangement; clear motif development; dynamic contour with defined peaks",https://www.youtube.com/watch?v=nw2qYEqRLa4
First Time,Melodic Bass/EDM,"SLANDER, Dabin, Seven Lions, Dylan Matthew","A collaboration between, , , and, this track features emotive vocals over a dynamic melodic dubstep arrangement. The song's structure includes ethereal melodies, vibrant synths, and powerful percussion, creating an uplifting atmosphere. The lyrics explore themes of love and longing, capturing the transformative experience of falling in love for the .",https://www.youtube.com/watch?v=oyxklxISius
Island,Melodic Bass/Trance,"Seven Lions, Wooli, Trivecta, Nevve","Euphoric melodic dubstep track featuring ethereal vocals, gentle piano intro, and airy synths, building into a dynamic blend of uplifting melodies and heavy bass drops, with intricate guitar melodies and hard-hitting dubstep elements, creating an immersive and emotionally charged listening experience.",https://www.youtube.com/watch?v=1IFNx68qfPY
Ocean,Progressive Trance,"Seven Lions, Jason Ross, Jonathan Mendelsohn","A 3:45 track in C minor, 4/4 time, around 128 BPM, blending melodic dubstep with trance elements. Features deep sub-bass, atmospheric synths, and emotive vocals. Released in 2018 as part of a double single, it received positive reviews for its innovative fusion of genres. The accompanying lyric video features a female protagonist exploring underwater ruins, enhancing the song's immersive experience.",https://www.youtube.com/watch?v=_Gg-dUDSjR0
Higher Love,Melodic Bass/Trance,"Seven Lions, Jason Ross, Paul Meany","Uplifting trance track featuring emotive vocals over driving 4/4 beats, soaring synths, and dynamic drops. Originally released in 2017, it was reimagined in 2021 with psytrance elements, elevating its energy and tempo. The collaboration between and showcases their seamless fusion of styles, with 's vocals adding depth to the composition.",https://www.youtube.com/watch?v=zhw8kpLc9DI
See The End,Progressive Trance,"Above & Beyond, Seven Lions, Opposite the Other","A euphoric progressive trance anthem blending uplifting melodies with glitch-infused drops, featuring atmospheric synths, booming basslines, and emotive vocals from South African trio . Debuted live at EDC Las Vegas 2019, this collaboration between and showcases their signature styles, creating a nostalgic yet timeless feel.",https://www.youtube.com/watch?v=Kj_xaEbd-rA
Dreamin’,Psytrance/EDM,"Seven Lions, Fiora","Uplifting melodic dubstep track features ethereal vocals over shimmering synths and bright piano chords, building to a euphoric drop with glowing synths and dubstep-inspired percussion. Released on Ophelia Records, it showcases ' signature style, blending emotional melodies with energetic drops. 's vocals add depth, making it a staple in festival sets.",https://www.youtube.com/watch?v=ZsJLmTPeBnk
After Dark,Psytrance/Trance,"Seven Lions, Blastoyz, Fiora","A dark psytrance track featuring deep, somber vocals, ominous synths, and pulsating basslines, creating an intense, haunting atmosphere. The collaboration between and introduces a high-energy beat drop, adding to the track's dynamic progression. 's evocative performance enhances the track's emotional depth, enveloping listeners in a captivating, immersive experience.",https://www.youtube.com/watch?v=Q5drTYTEHBo
Freesol,Melodic Bass/House,"Seven Lions, Skyler Stonestreet","Ethereal pads and light percussion introduce this track, setting a dreamy atmosphere. 's airy vocals add depth, leading into a powerful drop with heavy synths and growling basslines. The song blends melodic bass, trance, and future house elements, creating an uplifting vibe. Released in 2017, it showcases ' signature style, combining emotional melodies with energetic drops.",https://www.youtube.com/watch?v=92_pmtxVn7s
Someday,Melodic Bass/Pop,"Seven Lions, Julia Ross, HALIENE","Uplifting trance track features ethereal vocals over driving bassline and atmospheric synths, building to euphoric drops. Incorporates elements of melodic dubstep and progressive house, creating a dynamic and emotive soundscape. Released as part of a 1999 EP, reimagining classic tracks with a nostalgic vibe. Supported by artists like Armin van Buuren and Above & Beyond.",https://www.youtube.com/watch?v=fU7xxB_CuME
Man Down,Trap/Melodic Bass,"Seven Lions, YDG, Bella Renee","A genre-blending track fusing dubstep's robotic wobbles with trance-inspired arpeggios, featuring haunting vocals that cut through the mix like broken glass, delivering lines about mirrors and self-reflection with defiant fragility.; layered textures; tasteful automation; tight low‑end management; polished master",https://www.youtube.com/watch?v=pNjyGHZM8JA
Sunshine,Melodic Bass/Pop,"Seven Lions, Wooli, VARGEN","A melodic bass track featuring warm piano riffs, airy falsetto vocals, and subtle programmed drums, building to a shimmering, polished release of energy that emphasizes emotional depth over intensity. The song's structure includes a gentle intro, a restrained drop, and a blissed-out release, creating a cinematic optimism that resonates with listeners. Notably, the track has been well-received, with listeners praising its energy and emotional resonance.",https://www.youtube.com/watch?v=xUFoPisODPU
Every Time,Melodic Pop/EDM,"Seven Lions, So Below","A haunting melodic dubstep track featuring ethereal vocals over atmospheric synths and deep basslines, building tension before a powerful drop, blending elements of trance and dubstep, with a tempo of 140 BPM, in the key of C minor, and a 4/4 time signature.; mid‑tempo groove; bright acoustic elements; soft saturation on bus",https://www.youtube.com/watch?v=HiQM8iwe4d8
Call On Me,Melodic Bass/Pop,"Seven Lions, Vancouver Sleep Clinic","A cinematic electronic track featuring ethereal vocals over lush synths and dynamic basslines, blending indie-folk sensibilities with atmospheric melodic dubstep. The song begins with intricate synth work, gradually building to a soaring drop that showcases ' signature style. 's tender vocals add depth, creating an emotionally resonant listening experience. Released as part of the album ""Beyond The Veil"" in 2022.",https://www.youtube.com/watch?v=PurGIC2gYuU
Need Your Love,Progressive/Dubstep,"Seven Lions, ILLENIUM, Annika Wells","Uplifting future bass track features ethereal vocals, emotive melodies, and dynamic drops. Incorporates rock elements like strong percussion and guitar melodies. ' vocals add depth to the production. Released in 2020, it showcases 's signature style. The song's production techniques are reminiscent of 's earlier work, like his debut album, Ashes, dubbed by an ""angelic ooze.""",https://www.youtube.com/watch?v=A9dX-C5SBD4
Animals,Big Room House/EDM,Martin Garrix,"High-energy big room house track with driving 128 BPM tempo, in F minor key, 4/4 time signature, approximately 5 minutes long; features pulsating sub-bass, sharp synth stabs, and minimalistic drop inspired by hip-hop elements; includes low-pitched vocal sample ""We're the fucking "" repeated twice; achieved widespread acclaim, topping Beatport charts, reaching number one in UK, Belgium, and Switzerland, and number 21 on US Billboard Hot 100; music video surpassed 1.7 billion YouTube views as of",https://www.youtube.com/watch?v=gCYcHz2k5x0
In The Name Of Love,Pop/Electronic,"Martin Garrix, Bebe Rexha","Future bass track featuring emotive vocals, soft piano, and guitar strums, building into soaring synths and dynamic drops. Notable for its blend of electronic pop and trap elements, marking a departure from traditional festival sounds. Achieved over one billion Spotify streams, becoming an all-time classic. Garrix debuted it at Ultra Music Festival 2016, with Rexha's performance on 'The Tonight Show Starring Jimmy Fallon' marking the first by a Dutch artist.",https://www.youtube.com/watch?v=AeGfss2vsZg
Scared To Be Lonely,Future Bass/Pop,"Martin Garrix, Dua Lipa","Future bass track featuring soulful vocals over atmospheric synths and live strings, building to an emotive drop with lush electronic elements; introspective lyrics explore vulnerability and fear of solitude.; mid‑tempo groove; bright acoustic elements; soft saturation on bus; clean topline; layered harmonies; glossy synth pads; punchy drums",https://www.youtube.com/watch?v=e2vBLd5Egnk
There For You,Future Bass/Pop,"Martin Garrix, Troye Sivan","This 3:41 electropop track features 's emotive vocals over 's lush production, blending manipulated vocal samples and glitchy electronics. The song debuted at Coachella in April 2017 and was released on May 26, 2017. Its themes of support and connection resonate with listeners, particularly within the LGBTQ community.",https://www.youtube.com/watch?v=pNNMr5glICM
Ocean,Pop/Electronic,"Martin Garrix, Khalid","Mid-tempo pop ballad in C minor, featuring lush live strings and subtle electronic elements; 's soulful vocals blend seamlessly with Garrix's production, creating a warm, romantic atmosphere.; verse–pre–hook–chorus form; earworm motif; tight vocal comp; plate reverb; mid‑tempo groove; bright acoustic elements; soft saturation on bus",https://www.youtube.com/watch?v=BDocp-VpCwY
High On Life,Progressive House,"Martin Garrix, Bonn","Energetic progressive house track with uplifting melodies, featuring soulful vocals over bright, powerful leads and uplifting chord progressions; production reminiscent of Avicii's style; premiered during Tomorrowland 2018 closing set; received positive reviews for its dynamic drop and festival-ready appeal.",https://www.youtube.com/watch?v=Lpjcm1F8tY8
Summer Days,Disco/Pop,"Martin Garrix, Macklemore, Patrick Stump","Upbeat dance-pop track featuring energetic programmed drums, funky bassline, and catchy guitar riffs, blending electronic rock and electro-funk elements. 's rap verses and 's falsetto vocals narrate a spontaneous summer romance, evoking feelings of new love and carefree moments. Released in April 2019, it quickly became a summer anthem, amassing over 80 million streams and reaching #18 on Spotify's Global Top 50.",https://www.youtube.com/watch?v=LdvvPtIfR8w
So Far Away,Future Bass/EDM,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya","A melancholic future-pop ballad in F# minor at 149 BPM, featuring emotive male and female vocals, warm guitar licks, and lush string arrangements. The track's structure includes a gentle intro, dynamic build-ups, and a powerful drop with bombastic bass and synths. The accompanying music video portrays a young couple grappling with the end of their relationship, enhancing the song's emotional depth.",https://www.youtube.com/watch?v=4gLA0XF6rs8
Mistaken,Progressive House,"Martin Garrix, Matisse & Sadko, Alex Aris","Progressive house track in F# minor at 128 BPM, featuring uplifting vocals by . Characterized by euphoric melodies and big room drops, it premiered during 's Ultra Music Festival set in 2019. Released in original and club versions, the club mix offers a more aggressive sound. The track has garnered significant popularity, amassing over 49 million streams on Spotify.",https://www.youtube.com/watch?v=9-klJ6EQfe8
Drown,Pop/Electronic,"Martin Garrix, Clinton Kane","Uplifting EDM-pop fusion track featuring emotive vocals over bright synths and booming percussion, blending acoustic guitar with electronic elements; structured with verses leading into a future bass-led chorus; released February 27, 2020, with a duration of 2 minutes and 54 seconds; achieved chart positions including 19 on New Zealand Hot Singles and 68 on US Hot Dance/Electronic Songs; accompanied by an official video directed by Damian Karsznia.",https://www.youtube.com/watch?v=iGS07iQaAcg
Carry You,Progressive House,"Martin Garrix, Third Party, Oaks, Declan J Donovan","A progressive house anthem featuring uplifting melodies, pulsing synths, and euphoric vocals, delivering an infectious blend of energy and euphoria. Debuted live at Ultra Music Festival 2023, it became an instant classic, with fans eagerly awaiting its official release. The track's iconic intro and soaring production transport listeners to a place where burdens dissolve, offering a neon-drenched lifeline to those in need.",https://www.youtube.com/watch?v=xVGoGYb55NI
Empty,Progressive House,"Martin Garrix, DubVision, Jaimes","A euphoric progressive house track featuring uplifting chords and a dynamic drop, blending distinctive production styles of two renowned Dutch producers. The collaboration showcases a seamless fusion of melodies, creating an ethereal soundscape that has become a highlight in live performances. The addition of a rising vocalist adds a fresh twist, enhancing the track's emotional depth. This composition serves as a fitting conclusion to a highly anticipated EP, leaving listeners with a sense of",https://www.youtube.com/watch?v=TMIxbMgRLG4
Wherever You Are,Progressive House,"Martin Garrix, DubVision, Shaun Farrugia","A euphoric progressive house track at 127 BPM in D# major, featuring soaring synths, deep basslines, and impassioned vocals, blending uplifting melodies with heartfelt lyrics about love's boundless pursuit. Debuted during Ultra Miami 2024, it serves as a dynamic closing anthem for summer shows. The collaboration between Garrix, , and Farrugia showcases their synergy in creating emotionally resonant dance music.",https://www.youtube.com/watch?v=7GIXkRR9mtE
